trade_id,alert_date,alert_price,alert_vol,strike,expiry_date,days_to_expiry,straddle_cost,exit_date,exit_price,exit_pnl,exit_pnl_pct,exit_reason,days_held,scale_factor,scaled_cost,scaled_exit,scaled_pnl
1,2023-09-25,34.25,0.0133,34.25,2023-10-20,25,0.19,2023-09-26,0.61,0.42,216.23,20% target,1,5263.157894736842,1000,3210.5263157894733,2210.5263157894733
2,2024-01-08,38.43,0.012,38.43,2024-02-16,39,0.33,2024-01-15,0.42,0.09,27.36,20% target,7,3030.30303030303,1000,1272.7272727272725,272.7272727272725
3,2024-02-26,42.69,0.0129,42.69,2024-03-15,18,0.18,2024-02-28,2.11,1.93,1088.51,20% target,2,5555.555555555556,1000,11722.222222222223,10722.222222222223
4,2024-04-18,39.85,0.0131,39.85,2024-05-17,29,0.26,2024-04-19,0.92,0.67,258.76,20% target,1,3846.153846153846,1000,3538.4615384615386,2538.4615384615386
5,2024-07-11,38.33,0.0133,38.33,2024-08-16,36,0.3,2024-07-15,0.44,0.13,43.62,20% target,4,3333.3333333333335,1000,1466.6666666666667,466.66666666666674
6,2024-08-05,35.7,0.0119,35.7,2024-09-20,46,0.36,2024-08-06,0.97,0.61,170.3,20% target,1,2777.777777777778,1000,2694.4444444444443,1694.4444444444443
7,2024-09-23,36.63,0.0109,36.63,2024-10-18,25,0.2,2024-09-24,0.34,0.14,69.09,20% target,1,5000,1000,1700.0000000000002,700.0000000000002
8,2024-10-04,37.84,0.0127,37.84,2024-11-15,42,0.35,2024-10-07,0.85,0.5,144.4,20% target,3,2857.1428571428573,1000,2428.571428571429,1428.571428571429
9,2025-01-15,37.29,0.0129,37.29,2025-02-21,37,0.3,2025-01-24,0.42,0.12,38.8,20% target,9,3333.3333333333335,1000,1400,400
10,2025-04-02,37.2,0.0106,37.2,2025-05-16,44,0.36,2025-04-03,0.85,0.49,138.13,20% target,1,2777.777777777778,1000,2361.1111111111113,1361.1111111111113
11,2025-05-30,30.9,0.0133,30.9,2025-06-20,21,0.15,2025-06-02,0.3,0.15,103.08,20% target,3,6666.666666666667,1000,2000,1000
12,2025-07-11,32.63,0.0128,32.63,2025-08-15,35,0.25,2025-07-15,0.46,0.21,82.2,20% target,4,4000,1000,1840,840
13,2025-09-05,30.59,0.0075,30.59,2025-10-17,42,0.28,2025-09-08,0.38,0.1,35.69,20% target,3,3571.428571428571,1000,1357.142857142857,357.1428571428571
14,2025-11-18,32.99,0.0131,32.99,2025-12-19,31,0.23,2025-11-25,0.54,0.31,136.39,20% target,7,4347.826086956522,1000,2347.826086956522,1347.826086956522
15,2025-11-24,32.54,0.013,32.54,2025-12-19,25,0.18,2025-11-28,0.6,0.42,228.65,20% target,4,5555.555555555556,1000,3333.3333333333335,2333.3333333333335
16,2025-12-10,31.94,0.0122,31.94,2026-01-16,37,0.26,2025-12-16,0.98,0.72,278.93,20% target,6,3846.153846153846,1000,3769.230769230769,2769.230769230769
17,2026-01-08,30.2,0.0128,30.2,2026-02-20,43,0.28,2026-01-09,0.38,0.09,32.31,20% target,1,3571.428571428571,1000,1357.142857142857,357.1428571428571
18,2026-01-19,32.17,0.013,32.17,2026-02-20,32,0.23,2026-01-20,0.34,0.11,48.16,20% target,1,4347.826086956522,1000,1478.2608695652175,478.2608695652175
19,2026-02-27,39.33,0.013,39.33,2026-03-20,21,0.19,2026-03-02,1.95,1.77,938.37,20% target,3,5263.157894736842,1000,10263.157894736842,9263.157894736842
