symbol,alert_date,exit_date,scaled_pnl
PETR4.SA,2023-09-25,2023-09-26,2162.2676951780627
PETR4.SA,2024-01-08,2024-01-15,273.63638019169866
PETR4.SA,2024-02-26,2024-02-28,10885.074825167176
PETR4.SA,2024-04-18,2024-04-19,2587.5635625596815
PETR4.SA,2024-07-11,2024-07-15,436.17780624645343
PETR4.SA,2024-08-05,2024-08-06,1702.9886832347115
PETR4.SA,2024-09-23,2024-09-24,690.9109314721443
PETR4.SA,2024-10-04,2024-10-07,1443.996320618448
PETR4.SA,2025-01-15,2025-01-24,388.02719996432984
PETR4.SA,2025-04-02,2025-04-03,1381.3209471076766
PETR4.SA,2025-05-30,2025-06-02,1030.7509195515574
PETR4.SA,2025-07-11,2025-07-15,822.0101558971796
PETR4.SA,2025-09-05,2025-09-08,356.94956499729597
PETR4.SA,2025-11-18,2025-11-25,1363.8535560344644
PETR4.SA,2025-11-24,2025-11-28,2286.5004210524694
PETR4.SA,2025-12-10,2025-12-16,2789.3091424198983
PETR4.SA,2026-01-08,2026-01-09,323.1181977558565
PETR4.SA,2026-01-19,2026-01-20,481.6030648809158
PETR4.SA,2026-02-27,2026-03-02,9383.713678556142
VALE3.SA,2023-04-03,2023-04-04,828.6459512951235
VALE3.SA,2023-10-13,2023-10-16,1294.7185389230926
VALE3.SA,2023-11-21,2023-11-22,5293.024912828459
VALE3.SA,2023-12-18,2023-12-19,937.423413226438
VALE3.SA,2024-05-07,2024-05-16,319.2553060162852
VALE3.SA,2024-09-02,2024-09-03,1734.2310644103964
VALE3.SA,2024-10-24,2024-10-25,6753.363250778226
VALE3.SA,2024-11-05,2024-11-07,2295.6494603506994
VALE3.SA,2025-01-10,2025-01-14,598.0940709009119
VALE3.SA,2025-02-27,2025-02-28,2217.130380110004
VALE3.SA,2025-05-14,2025-05-15,1185.0128149117604
VALE3.SA,2025-08-12,2025-08-13,1925.359028460602
VALE3.SA,2025-08-18,2025-08-21,548.9023038891851
ITUB4.SA,2023-06-23,2023-06-28,1046.594576262426
ITUB4.SA,2023-07-13,2023-07-17,1018.7636501819388
ITUB4.SA,2023-08-16,2023-08-22,901.803176354666
ITUB4.SA,2024-01-15,2024-01-18,573.2815744084567
ITUB4.SA,2024-03-21,2024-03-22,1379.6984105284578
ITUB4.SA,2024-06-05,2024-06-06,1287.4139030550518
ITUB4.SA,2024-09-11,2024-09-18,420.5581204345847
ITUB4.SA,2024-10-18,2024-10-23,275.96513874467587
ITUB4.SA,2024-11-11,2024-11-14,438.4494957894042
ITUB4.SA,2025-04-14,2025-04-15,1783.3540627795287
ITUB4.SA,2025-05-07,2025-05-08,809.9381345854249
ITUB4.SA,2025-06-06,2025-06-16,500.4361916909611
ITUB4.SA,2025-08-08,2025-08-11,600.7993199562993
ITUB4.SA,2025-08-15,2025-08-18,855.7015989046249
ITUB4.SA,2025-09-19,2025-09-22,402.6147110673446
ITUB4.SA,2025-09-25,2025-09-26,958.6765543317758
ITUB4.SA,2025-10-10,2025-10-13,369.4127826668964
ITUB4.SA,2026-01-13,2026-01-14,1290.3549455801872
ITUB4.SA,2026-01-16,2026-01-20,902.5598105287174
BBDC4.SA,2023-07-04,2023-07-06,320.17799505954713
BBDC4.SA,2023-09-01,2023-09-05,635.5172052294602
BBDC4.SA,2023-09-26,2023-09-28,3713.1151269507127
BBDC4.SA,2023-10-25,2023-10-26,4795.33975647748
BBDC4.SA,2023-12-12,2023-12-13,5188.218492980097
BBDC4.SA,2023-12-15,2023-12-18,864.5762166501693
BBDC4.SA,2023-12-21,2023-12-22,1999.2925356810465
BBDC4.SA,2024-01-16,2024-01-17,234.38446439183622
BBDC4.SA,2024-03-08,2024-03-11,554.7323168779753
BBDC4.SA,2024-07-02,2024-07-03,303.54517035928075
BBDC4.SA,2024-07-04,2024-07-05,1178.5096925042653
BBDC4.SA,2024-09-03,2024-09-04,745.378517732636
BBDC4.SA,2024-10-21,2024-10-25,2259.1753247415036
BBDC4.SA,2024-11-11,2024-11-14,521.440376515751
BBDC4.SA,2024-12-02,2024-12-04,592.3064164311181
BBDC4.SA,2025-06-05,2025-06-11,2183.0826945503254
BBDC4.SA,2025-06-18,2025-06-23,590.7105233211819
BBDC4.SA,2025-06-25,2025-06-26,1671.2288504858952
BBDC4.SA,2025-07-04,2025-07-10,1591.2886859014716
BBDC4.SA,2025-07-08,2025-07-10,1016.553385763006
BBDC4.SA,2025-07-10,2025-07-18,1903.3994701562006
BBDC4.SA,2025-09-16,2025-09-17,5011.396069125339
BBDC4.SA,2025-09-23,2025-09-25,999.497869258199
BBDC4.SA,2025-09-25,2025-09-26,938.6062468613018
BBDC4.SA,2025-10-03,2025-10-15,1172.575284652105
BBDC4.SA,2025-10-09,2025-10-14,373.8565945464379
BBDC4.SA,2025-10-15,2025-10-16,1389.5410297324202
BBDC4.SA,2025-11-28,2025-12-01,1415.1686095787563
BBDC4.SA,2025-12-04,2025-12-05,4344.206332902091
ABEV3.SA,2023-05-03,2023-05-04,334.2340485154407
ABEV3.SA,2023-06-30,2023-07-04,1962.1313620846477
ABEV3.SA,2023-07-05,2023-07-06,625.2710179662793
ABEV3.SA,2023-07-07,2023-07-10,1102.892944741152
ABEV3.SA,2023-08-18,2023-08-22,532.2854537768949
ABEV3.SA,2023-09-20,2023-09-21,629.8317217542501
ABEV3.SA,2023-09-22,2023-09-25,1125.043964934236
ABEV3.SA,2024-01-22,2024-01-25,310.8187723180097
ABEV3.SA,2024-03-28,2024-04-01,827.3405139046581
ABEV3.SA,2024-04-22,2024-04-24,1277.2303534839748
ABEV3.SA,2024-06-06,2024-06-07,366.7392755387052
ABEV3.SA,2024-06-18,2024-06-20,323.7721683177242
ABEV3.SA,2024-06-26,2024-07-05,631.0436012669522
ABEV3.SA,2024-09-04,2024-09-09,847.3894422174967
ABEV3.SA,2025-02-18,2025-02-21,297.2336679687355
ABEV3.SA,2025-05-14,2025-05-15,1533.1623017549427
ABEV3.SA,2025-08-28,2025-08-29,1648.0123798868358
ABEV3.SA,2025-10-06,2025-10-08,208.1215446968488
ABEV3.SA,2025-10-09,2025-10-10,793.5772598668418
ABEV3.SA,2025-10-28,2025-10-30,8717.66325418039
ABEV3.SA,2025-12-03,2025-12-05,2018.3099903550305
